,DST_TO_SRC_SECOND_BYTES,FLOW_DURATION_MICROSECONDS,FLOW_DURATION_MILLISECONDS,IN_BYTES,IN_PKTS,L4_SRC_PORT,OUT_BYTES,OUT_PKTS,PROTOCOL_MAP,SRC_TO_DST_SECOND_BYTES,TCP_FLAGS,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,TCP_WIN_MIN_IN,TCP_WIN_MIN_OUT,TCP_WIN_MSS_IN,TCP_WIN_MSS_OUT,TCP_WIN_SCALE_IN,TCP_WIN_SCALE_OUT,L7_PROTO_NAME,TOTAL_FLOWS_EXP,LABEL
0,48,104116914,104116,250,6,50772,712,17,1,48,19,64240,64240,8192,64240,1460,1460,0,0,TLS,77251491,0
1,0,9529030,9529,144,3,61900,0,0,2,48,0,0,0,0,0,0,0,0,0,STUN.Messenger,77251492,0
2,0,9529169,9529,228,3,0,0,0,3,76,0,0,0,0,0,0,0,0,0,ICMP,77251493,0
3,0,0,0,148,1,0,0,0,3,148,0,0,0,0,0,0,0,0,0,ICMP,77251494,0
4,0,0,0,40,1,49159,0,0,1,40,2,65535,0,65535,0,0,0,0,0,Unknown,77251495,0
5,40,1117,1,52,1,12644,40,1,1,52,22,64240,0,64240,0,1452,0,8,0,Unknown,77251496,0
6,208,721,0,116,2,52647,208,2,2,116,0,0,0,0,0,0,0,0,0,DNS,77251497,0
7,5953,927303,927,4689,12,56781,6462,15,1,4540,30,64240,18557,64240,14360,1460,1436,8,0,TLS,77251498,0
8,272,218,0,162,2,59859,272,2,2,162,0,0,0,0,0,0,0,0,0,DNS,77251499,0
9,153,4635944,4635,1345,12,50820,2257,14,1,112,27,29200,64308,29200,64308,1424,1410,7,7,SSH,77251500,0
10,134,1032,1,69,1,52411,134,1,2,69,0,0,0,0,0,0,0,0,0,DNS,77251501,0
11,40,344,0,52,1,51161,40,1,1,52,22,64240,0,64240,0,1452,0,8,0,Unknown,77251502,0
12,126,811,0,81,1,36603,126,1,2,81,0,0,0,0,0,0,0,0,0,DNS,77251503,0
13,126,811,0,81,1,59724,126,1,2,81,0,0,0,0,0,0,0,0,0,DNS,77251504,0
14,88,92638,92,139,2,57341,88,1,1,139,24,1028,2048,1028,2048,0,0,0,0,TLS.Skype,77251505,0
15,193,668,0,126,2,44326,193,2,2,126,0,0,0,0,0,0,0,0,0,DNS,77251506,0
16,40,192,0,60,1,34061,40,1,1,60,22,7300,0,7300,0,1460,0,0,0,Unknown,77251507,0
17,40,263039,263,52,1,22,40,1,1,52,21,503,0,503,0,0,0,0,0,SSH,77251508,0
18,0,37598552,37598,400,5,0,0,0,3,68,0,0,0,0,0,0,0,0,0,ICMP,77251509,0
19,40,228,0,52,1,12644,40,1,1,52,22,64240,0,64240,0,1452,0,8,0,Unknown,77251510,0
20,215,92656,92,185,2,50499,215,1,1,185,24,515,7037,515,7037,0,0,0,0,TLS,77251511,0
21,52,35821,35,52,1,38146,52,1,1,52,16,501,274,501,274,0,0,0,0,Google,77251512,0
22,148,269,0,71,1,55792,148,1,2,71,0,0,0,0,0,0,0,0,0,DNS,77251513,0
23,0,0,0,40,1,44084,0,0,1,40,2,1024,0,1024,0,0,0,0,0,Unknown,77251514,0
24,40,228,0,60,1,60534,40,1,1,60,22,7300,0,7300,0,1460,0,0,0,Unknown,77251515,0
25,1207,10874383,10874,1525,15,36262,3183,15,1,237,27,29200,27960,29200,27960,1424,1410,7,7,SSH,77251516,0
26,52,28932767,28932,337,2,50791,248,5,1,52,31,8192,64240,8192,64240,1460,1460,8,7,TLS,77251517,0
27,61,106095676,106095,1089,12,443,1192,10,2,73,0,0,0,0,0,0,0,0,0,Google,77251518,0
28,105,107166668,107166,2098,11,9993,1065,11,2,378,0,0,0,0,0,0,0,0,0,Unknown,77251519,0
29,0,0,0,32,1,0,0,0,3,32,0,0,0,0,0,0,0,0,0,ICMP,77251520,0
30,0,0,0,32,1,0,0,0,3,32,0,0,0,0,0,0,0,0,0,ICMP,77251521,0
31,208,387,0,116,2,57340,208,2,2,116,0,0,0,0,0,0,0,0,0,DNS,77251522,0
32,176,168,0,72,1,58074,176,1,2,72,0,0,0,0,0,0,0,0,0,DNS,77251523,0
33,64,5122467,5122,168,3,60303,104,2,1,104,24,521,1025,521,1025,0,0,0,0,TeamViewer,77251524,0
34,64,5188870,5188,168,3,62542,104,2,1,104,24,513,1022,513,1022,0,0,0,0,TLS.TeamViewer,77251525,0
35,461,1177592,1177,992,8,52961,581,6,1,858,31,64240,65535,64240,65535,1460,1460,8,8,BitTorrent,77251526,0
36,1207,3820221,3820,1361,12,42858,2127,14,1,237,27,64240,27960,64240,27960,1460,1410,7,7,SSH,77251527,0
37,0,0,0,73,1,35915,0,0,2,73,0,0,0,0,0,0,0,0,0,Unknown,77251528,0
38,0,0,0,101,1,0,0,0,3,101,0,0,0,0,0,0,0,0,0,ICMP,77251529,0
39,40,64098,64,80,2,45098,40,1,1,80,22,1200,0,1024,0,0,0,0,0,Unknown,77251530,0
40,0,0,0,132,1,55452,0,0,2,132,0,0,0,0,0,0,0,0,0,BitTorrent,77251531,0
41,0,0,0,160,1,0,0,0,3,160,0,0,0,0,0,0,0,0,0,ICMP,77251532,0
42,224,963,0,132,2,59869,224,2,2,132,0,0,0,0,0,0,0,0,0,DNS,77251533,0
